- 兄弟姐妹好,关于这几天,咱们每天盖特还有咱们直播,
我不想谈太多具体的,咱说过今年不搞重磅中的重磅,
就是以毒灭共,还有现在灭共的一些进展,
咱们要管住嘴,卖其腿越快越好,像那个狗袍一样,越快越好。
为什么,兄弟姐妹们,我们要注重行动,注重行动。
现在这个灭共,到了很关键的时刻,我相信大家都比我明白,
都比我明白,对吧?
是全世界人类的保命保财还要报仇,
这是事实吧,
不是我郭文贵说的吧,
新中国联邦在五年前就开启了保命保财的报仇的这个历程,
没有比我们再能解读这个意义了,
现在全世界和我们一起保命保财报仇,
全世界和我们一起来为香港人发声,
维护香港的人权和尊严,
维护香港国际法的基本原则,
维护任何一个国与国之间打交道的起码的准则,
那么用真相,
用证据,
用事实,
让全世界更多的人看到共产党的流氓,
假丑恶黑,
特别他这个骗,
现在玩的这所谓的战狼外交,
都是说好的,
都是研究好,
就是演戏。
我昨天讲的辛普森计划,
辛普森夫人,
大家没有一个人解读透的,
我有些话我不能说,
你们可以说,
辛普森是谁,
大家心知肚明,
谁是温莎公爵,
你们心知肚明,
但是不管任何人,
不管在哪国有多少个温莎公爵和希特勒的合作,
不管他有多么的能耐,
他不可能改变像当年希特勒一样的命运,
一定比希特勒还要惨,
这就是事实,
希哥不想做错,
你看看现在这个惩罚,
制裁加拿大,
澳大利亚,
欧洲,
包括现在日本,
包括这二流国家都站出来了,
越来越多人认识到,
中国人民不等于共产党,
共产党在走向疯狂的,
在征服这个世界,
欺骗这个世界,
威胁这个世界的危险的路上,
这个世界再不发生,
这个世界就要被共产党彻底给灭了,
这难道不是事实吗?
所以兄弟姐妹们,
还是那句话,
神险阳姑险大险,
咱揍揍看,
用事实说话,
用能力说话,
人类历史上从来没像今天,
团结在一个目标的情况下,
那就是灭共,
那就是以毒灭共,
以香港的整个盛程的人权被残害,
包括在新疆的种族大屠杀,
在西藏的灭佛,
还有对爆料革命和法轮功的伤害,
这些仗势一定要算的,
一个都跑不了,
危险揍揍看。
