你们养得起吗?
他说你看看你这个傻子,你懂什么?
中国有的是一个跟国际上
千年的和平
法律的
独立的系统,公平的系统
言论,信仰的自由
让中国人
在世界上成为最最和平的民族
我们是前提
保留我们的国家
主权
人权
信仰自由
我们一人一票了
当然是不能有杀戮了
当然不能让
共产党设置这个局
设置这个股
让我们之间互相仇恨
互相杀戮了
没有一个合法政权
是来自暴力的
只要来自暴力的合法政权
一定会被推翻
只是时间的问题
这是新中国联盟
爆料革命的绝对原则
你像共产党在新疆
犯下这种罪行
天地诸之
所有的执行者
和决策者
都将被以极端的刑法
来处罚
我百分之百同意
但必须按法律范围的极端的惩罚
像萨达姆一样
像萨达菲一样
毫不犹豫
像他们在西藏
所犯下的罪行
把他死了不得
粉也得给他挖出来
也得审判他
烤漆木
发鸡魂都不拉倒
但是在法律范围内
在香港犯下的罪行
在六四犯下的罪行
在冠状病毒
决策者执行者这些人
能用人间之合法之一切手段
追剿
审判
杀之
毫不手软
但是必须的事情
不能像共产党一样
把郭文贵的家人全抓了
把郭文贵的同事全抓了
把郭文贵的
连我嫂子的亲戚的
表姐的都抓了
祸灭九族
共产党员当中
为什么那么多人跟随我们
他们看到了办郭文贵案子
就像上星期
有一个检察院的人说
七哥
为啥我们冒著死跟著你啊
你这个案子最早我跟的时候
他们对你们全家所动用的手段
绝对不是一个
政府一个党应该干的
黑社会都不会这么干
他们的愚蠢
凶残
暴力
和无法无天的
这些行动
就促使了中国有正义的
党内人员和党外的经营们
这是爆料革命能成功的
关键之处
关键以共灭共
我们这时候把九千万党员
给灭了
我们这时候把九千万党员
都列为我们的敌人
何其用心呢
如果现在我们
跳出来支持说
把九千万党员全列成敌人
把九千万党员所有在美国的孩子们
全给抓起来
你觉得我们新中国联邦
还有未来吗
有未来吗
郝海东先生
叶钊营女士
闫丽梦博士
开始爆料到今天
为什么有人信
为什么有人听
我们无非是坚持了三个原则
微真不破
一切都是为了灭共
把共产党
和中国人分开
把共产党和中国人民分开
第三个
就是这些成功的人士
用事实
用良知用人性用合法的手段
完全提倡非暴力
我们才能走到今天
我们才能受到
西方国家
有法治的文明国家的尊重
和信任和合作
任何战友
当你在这个问题上动摇的时候
我求求您
拜托了
我们惹不起您
我们都是不行的
我们不可能
我们不可能
永远七哥也不可能
爆料革命新中国联邦
永远不可能提倡暴力
永远不可能
鼓励种族仇恨
族群仇恨
一概而论的
更不允许
挑起
国家民族
民族之间的所谓的
共产党制造的这些矛盾
形成大规模的人道灾难
这是不可以的
我一再讲
我就是要告诉大家
一定要睁大眼睛
千万不能上了共产党的当
让我们以九千万党员为敌
九千万党员我再重申一遍
99%的党员
应该大赦豁免
要把极端的决策和执行者
用最严厉的刑罚
依法审判
和惩罚
九千万党员的家人
绝大多数都是
我们的同胞
我们同样的兄弟姐妹
爱他们帮他们
与他们在一起
不论在任何国家
任何地方
西方国家危害这些国家安全
在这些国家不尊重法律
不按法行事的
人家国家任何惩罚
咱们都无言评论
无资格评论
我反对
我坚决反对
不对共产党
这个流氓机制
进行最有效的
经济打击
和技术上封锁
所谓的只惩罚这些人
是挑起种族矛盾的
一大弊端
不是好事不支持
我们声音很微小
我们不支持人以为你就放个屁
大家那边爱支持不支持
那就无所谓啊
未来新中国帮力量大了永远坚持这个原则
还有
我更重要的我要坚持的是
所有的战友们
当你们遇到
无论他今天是党员
甚至他今天就是什么
某局局长
什么情报局局长
甚至王岐山
他只要支持我们反共
昨天干啥咱不管
战友们
不要再告诉我发信息
谁谁谁曾经是党员
有人发信息什么老班长过去支持那个
我觉得他更伟大了
谢不说那是真是假
就凭他过去
他在体制内活
他没选择的
他现在能加入爆料革命
能承担这个责任
冒这个风险不更加敬佩吗
如果今天
王岐山两人说
我们现在全投奔爆料革命
我们把共产党给灭了好啊
让中国拥有
法治民主自由
一人一票选择政权
这是我们一切的目的的目的的目的
昨天他是党员
他是官员
恰恰能证明
他今天是
加入爆料革命是伟大的
就像头两天有位战友跟我说
在欧洲的
七哥我必须跟你说实话
我是家是谁谁谁
什么什么人
我就没给他回
过了一天多了
又给我发信息
七哥我给你发信息你听了
我说我因为忙
我还没想好
我顺便跟你说几句
你家是谁谁谁
我才觉得对你这个人我寡慕相看
你不缺钱
你也不缺安全
你为什么加入爆料革命呢
因为你有良知
你这样的战友我们更加
要鼓励你
你不要去参与任何农场
没问题你直接跟我
直接跟我做
我对他寡慕相看
对吧
一个这么高的高官的家人
经历了这么多事情
还要站出来跟爆料革命
还有勇气告诉我他是谁
他冒多大的风险
他不是你审判他
他随时会被共产党给灭掉
共产党真的会灭他九族
盘古大官的龙头
变成鸟头了都
一个楼都不放过
都给变成鸟头了
我的多年的
同学都翻出来我在
玉米地的事都要了解了解
当年在玉米地你说谁
能记得你四十五年前
四十年前在玉米
地里边的某个动作
跟某个女孩你觉得是不是神呢
就这都找回来
那么这些人要被共产党知道了
你说他的什么结果
他所有家人的高官
后路
钱财进食就这家人我们
难道我们要贬低他
我们要揭发他
我们的战友里边
有政治局委员
有常委的孩子
有前常委的孩子
也有现在常委的家人
为什么他们要灭共
我们就不接受呢
我们恰恰的就是
要对这些人的勇敢和放弃
我们要对他表示敬意
要更加维护和安全的
保护他们
所以七哥今天要给大家讲
1822年
美国当年
1822年
美国当年有了一个排华法案
1902年
这个排华法案
开始1902年
几十年的排华法案
你们见过那个法案
但真正是
华人在美国的
在华人的这个经历吗
几十年的排华法案
排华法案
你去过犹他州
犹他州
华人在犹他州死了几十万
为了建设美国
那叫猪仔呀
在华盛顿通往
伯格林那个桥
是华人来建的
那叫猪仔呀
矮矮白骨多少人几十万人
我都去过
你没去过不要给我放屁
不要玩这个意念的
你没亲自去过
不要放屁不要看书
我去过
华人在美国的这种
贡献
和遭受的待遇
远远超过当年的黑奴
黑奴还有些人
只是当奴了
我们连奴都不是啊
是当猪仔啊
从犹他州到洛杉矶
到美国东部
修建大桥基础设施
最后出来一个黄爱萍吧
电影演员
出来了一个李小龙啊
中国人
在西方的从刻板
无知猪仔
到处吐痰
无懦弱
刻板的形象才改过来
当时的
华人里边
黄爱萍和李小龙
这对中国人的贡献太大了
后来好莱坞
出来一个叫刘玉玲
刘玉玲这个是
华人出来在西方
真的是加入好莱坞的
其他都扯淡什么成龙啊
加开衬扯淡的事没有一个
就是黄爱萍
和李小龙
我说对不对啊
路过地球中
战友啊
你看战友说七芒星闪耀
我们不要排华法案我们要灭共法案
对啦
七芒星闪耀爱你
太可爱了
战友们因为太可爱了
喜马拉雅 KKK
共产党国民人家就变成地狱了是
共产党在我们内心
埋下的就是
懦弱自私
仇恨
变态
有牛人有牛人有牛人
战友中真有牛人啊
真牛
未来的历史让你们记住啊
你看很快就是现在
未来是黄爱萍
李小龙
还有好莱坞的名人刘玉玲
然后就是谁啦
路德路伯切
阎丽梦阎科学家阎博士
叶昭颖郝海东
啊
我们达格德伯墨博士
灌博士艾莉女士安红女士
都会成为
在世界上
最有名的华人
一定是的
我们的
1822年和1902年的
排华法大家你们认真
研究研究在美国
造成华人到今天呢
在街上真的是矮人
三头啊
在美国很多人的记忆中
他并没有消去啊
到今天
有些人就时不时拿出来说
事
七哥和美国和欧洲的白人
什么人没打过交道
我跟他们谈到排华法案的时候
别人都是不好意思
甚至从眼神都能感受到
怎么著
是不是啊
那意思排华法案里面也有些是正确的
他是多么的危险
犹太人
能把德国能把世界上
所有人不允许
犹太的这些各种事情
但是在美国到今天
排亚裔人
排华的人
有人在啊
今天是以藉著
啊
灭共灭共的家人的身份
啊
你还要搞一个排华法案吗
现在
亚裔人受歧视危险到这个程度
你难道还想把亚裔人再列为
一个排亚人排亚法案吗
我们战友当中
有这么多人出来
你到底是战友你还是敌人
不够
把这些人都杀了你有什么好处
你解恨了是吗
所有在美国留学的这三十万
孩子当中我告诉你
有二十万是共产党员的家属
很不幸
十万是草根都不错了
大概是这样
但是这里边会有个两三万
甚至个差不多的
这个所谓艳的特务
最多了
我们要因为百分之五
百分之十的人
要把这三十万个学生
全部都归为
共产党的地方全给送入地狱
像南京大叔啥一样的杀了我
奸了是吗
当年苏联攻进德国
啊
当年苏联攻进德国强奸
女性两百万
隔乳房隔阴唇
强奸轮奸
苏联强大了吗
德国消灭了吗
苏联人俄罗斯人
在世界上得到尊重了吗
全世界上最不遭人待见的国家
就是俄罗斯
他在历史上在战争中
没有过任何光彩的形象
二战是最早苏联
和希特勒签署了
分享波兰的条约
竟然把波兰给一分为二啊
你问问波兰人
我这旁边好几个波兰人
你问问波兰人
怎么看待俄罗斯人
我们中国人好在历史上
到现在没有对外的侵略历史
我们中国人好在历史上
我们中国人好在历史上
没有对外的侵略历史
中国人就不要给自己这造孽了
把中国人在世界上和平
没有侵略之心
勤劳
悠久的文化
灿烂的文明
和那个排华法案的吐痰
自私懦弱
硬板和现在的短暂的
70年的共产主义
跟世界留下的负面形象
把这个壹点拿掉
像拔掉壹个刺上拔掉
妳不能为拔这个刺
砍个胳膊砍到自己脑袋吧
在几千年的文明的人类长河中
中国人是伟大的
中国的文明
是全世界喜欢和尊重的
妳不能把共产党这70年
彻底就它否定了
中华人民
中国历史
