你們養得起嗎?
他說你看看你這個傻子,你懂什麽?
昨天他是黨員
他是官員
恰恰能證明
他今天是
加入爆料革命是偉大的
就像頭兩天有位戰友跟我說
在歐洲的
七哥我必須跟你說實話
我是家是誰誰誰
什麼什麼人
我就沒給他回
過了一天多了
又給我發信息
七哥我給你發信息你聽了
我說我因為忙
我還沒想好
我順便跟你說幾句
你家是誰誰誰
我才覺得對你這個人我寡慕相看
你不缺錢
你也不缺安全
你為什麼加入爆料革命呢
因為你有良知
你這樣的戰友我們更加
要鼓勵你
你不要去參與任何農場
沒問題你直接跟我
直接跟我做
我對他寡慕相看
對吧
一個這麼高的高官的家人
經歷了這麼多事情
還要站出來跟爆料革命
還有勇氣告訴我他是誰
他冒多大的風險
他不是你審判他
他隨時會被共產黨給滅掉
共產黨真的會滅他九族
盤古大官的龍頭
變成鳥頭了都
一個樓都不放過
都給變成鳥頭了
我的多年的
同學都翻出來我在
玉米地的事都要了解了解
當年在玉米地你說誰
能記得你四十五年前
四十年前在玉米
地裡邊的某個動作
跟某個女孩你覺得是不是神呢
就這都找回來
那麼這些人要被共產黨知道了
你說他的什麼結果
他所有家人的高官
後路
錢財進食就這家人我們
難道我們要貶低他
我們要揭發他
我們的戰友裡邊
有政治局委員
有常委的孩子
有前常委的孩子
也有現在常委的家人
為什麼他們要滅共
我們就不接受呢
我們恰恰的就是
要對這些人的勇敢和放棄
我們要對他表示敬意
要更加維護和安全的
保護他們
所以七哥今天要給大家講
1822年
美國當年
1822年
美國當年有了一個排華法案
1902年
這個排華法案
開始1902年
幾十年的排華法案
你們見過那個法案
但真正是
華人在美國的
在華人的這個經歷嗎
幾十年的排華法案
排華法案
你去過猶他州
猶他州
華人在猶他州死了幾十萬
為了建設美國
那叫豬仔呀
在華盛頓通往
伯格林那個橋
是華人來建的
那叫豬仔呀
矮矮白骨多少人幾十萬人
我都去過
你沒去過不要給我放屁
不要玩這個意念的
你沒親自去過
不要放屁不要看書
我去過
華人在美國的這種
貢獻
和遭受的待遇
遠遠超過當年的黑奴
黑奴還有些人
只是當奴了
我們連奴都不是啊
是當豬仔啊
從猶他州到洛杉磯
到美國東部
修建大橋基礎設施
最後出來一個黃愛萍吧
電影演員
出來了一個李小龍啊
中國人
在西方的從刻板
無知豬仔
到處吐痰
無懦弱
刻板的形象才改過來
當時的
華人裏邊
黃愛萍和李小龍
這對中國人的貢獻太大了
後來好萊塢
出來一個叫劉玉玲
劉玉玲這個是
華人出來在西方
真的是加入好萊塢的
其他都扯淡什麼成龍啊
加開襯扯淡的事沒有一個
就是黃愛萍
和李小龍
我說對不對啊
路過地球中
戰友啊
你看戰友說七芒星閃耀
我們不要排華法案我們要滅共法案
對啦
七芒星閃耀愛你
太可愛了
戰友們因為太可愛了
喜馬拉雅 KKK
共產黨國民人家就變成地獄了是
共產黨在我們內心
埋下的就是
懦弱自私
仇恨
變態
有牛人有牛人有牛人
戰友中真有牛人啊
真牛
未來的歷史讓你們記住啊
你看很快就是現在
未來是黃愛萍
李小龍
還有好萊塢的名人劉玉玲
然後就是誰啦
路德路伯切
閻麗夢閻科學家閻博士
葉昭穎郝海東
啊
我們達格德伯墨博士
灌博士艾莉女士安紅女士
都會成為
在世界上
最有名的華人
一定是的
我們的
1822年和1902年的
排華法大家你們認真
研究研究在美國
造成華人到今天呢
在街上真的是矮人
三頭啊
在美國很多人的記憶中
他並沒有消去啊
到今天
有些人就時不時拿出來說
事
七哥和美國和歐洲的白人
什麼人沒打過交道
我跟他們談到排華法案的時候
別人都是不好意思
甚至從眼神都能感受到
怎麼著
是不是啊
那意思排華法案裡面也有些是正確的
他是多麼的危險
猶太人
能把德國能把世界上
所有人不允許
猶太的這些各種事情
但是在美國到今天
排亞裔人
排華的人
有人在啊
今天是以藉著
啊
滅共滅共的家人的身份
啊
你還要搞一個排華法案嗎
現在
亞裔人受歧視危險到這個程度
你難道還想把亞裔人再列為
一個排亞人排亞法案嗎
我們戰友當中
有這麼多人出來
你到底是戰友你還是敵人
不夠
把這些人都殺了你有什麼好處
你解恨了是嗎
所有在美國留學的這三十萬
孩子當中我告訴你
有二十萬是共產黨員的家屬
很不幸
十萬是草根都不錯了
大概是這樣
但是這裡邊會有個兩三萬
甚至個差不多的
這個所謂艷的特務
最多了
我們要因為百分之五
百分之十的人
要把這三十萬個學生
全部都歸為
共產黨的地方全給送入地獄
像南京大叔啥一樣的殺了我
姦了是嗎
當年蘇聯攻進德國
啊
當年蘇聯攻進德國強姦
女性兩百萬
隔乳房隔陰唇
強姦輪姦
蘇聯強大了嗎
德國消滅了嗎
蘇聯人俄羅斯人
在世界上得到尊重了嗎
全世界上最不遭人待見的國家
就是俄羅斯
他在歷史上在戰爭中
沒有過任何光彩的形象
二戰是最早蘇聯
和希特勒簽署了
分享波蘭的條約
竟然把波蘭給一分為二啊
你問問波蘭人
我這旁邊好幾個波蘭人
你問問波蘭人
怎麼看待俄羅斯人
我們中國人好在歷史上
到現在沒有對外的侵略歷史
我們中國人好在歷史上
我們中國人好在歷史上
沒有對外的侵略歷史
中國人就不要給自己這造孽了
把中國人在世界上和平
沒有侵略之心
勤勞
悠久的文化
燦爛的文明
和那個排華法案的吐痰
自私懦弱
硬板和現在的短暫的
70年的共產主義
跟世界留下的負面形象
把這個壹點拿掉
像拔掉壹個刺上拔掉
妳不能為拔這個刺
砍個胳膊砍到自己腦袋吧
在幾千年的文明的人類長河中
中國人是偉大的
中國的文明
是全世界喜歡和尊重的
妳不能把共產黨這70年
徹底就它否定了
中華人民
中國歷史
